"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"9646",1291627,235,"RG","282 21ST   STREET","P6",11215,0,0,0,0,0,2016-06-03,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9647",1291933,235,"C0","360 44TH   STREET",NA,11220,3,0,2040,1910,0,2016-06-06,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9648",1292528,235,"C2","355 63RD   STREET",NA,11220,6,0,5229,1927,1370000,2016-06-08,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9649",1292865,235,"S2","6118 FIFTH AVENUE",NA,11220,2,1,2970,1925,0,2016-06-09,"PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"9650",1292866,235,"C0","529 59TH   STREET",NA,11220,3,0,2820,1899,930000,2016-06-09,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9651",1293229,235,"B9","333 46 STREET",NA,11220,2,0,2270,1910,0,2016-06-10,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9652",1293230,235,"B1","726 46 ST",NA,11220,2,0,3480,1925,0,2016-06-10,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"9653",1293544,235,"B9","641 48TH   STREET",NA,11220,2,0,2796,1920,0,2016-06-13,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9654",1293545,235,"C0","3905 FOURTH AVENUE",NA,11232,3,0,1890,1915,0,2016-06-13,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9655",1293546,235,"C2","192-194 19 STREET","5",11232,5,0,5800,1925,0,2016-06-13,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
